名次,标的,得分,建议均线,均线来源,建议复权,复权来源,Δ盈亏,白名单,跨年轮次,年最少轮次,成交年,盈利年,稳定性,年等权盈亏,胜率,利润因子,策略质量,trail占比,最大回撤,年化波动,贴线率,近期,未过原因,盈亏2016,盈亏2017,盈亏2018,盈亏2019,盈亏2020,盈亏2021,盈亏2022,盈亏2023,盈亏2024,盈亏2025,盈亏2026
147,002756.SZ,41.74586776859504,EMA,compare,前复权,compare,41006.46000000001,,12,0,6,3,50,1021.8463636363638,50.00833333333333,1.6753683029075488,0.5,75,-4.0577000000000005,51.222524694248165,21.888412017167383,无近期,,0,-2059.23,0,16541.54,-2442.31,0,-4057.69,0,834,2424,0
148,300274.SZ,41.46694214876033,EMA,compare,前复权,compare,7167.3,,32,0,10,7,70,562.5909090909091,56.23437499999999,1.1903346827099157,0.375,68.75,-9.7471,61.282572166236505,22.746781115879827,无近期,,2178.97,395.17,600,-4031.43,-3298.57,0,4530,-9747.14,8102.5,1447,6012
149,601186.SH,41.32231404958679,SMA,compare,前复权,compare,-4513,,32,0,9,6,66.66666666666666,553.5454545454545,65.62812500000001,1.1749662366023965,0.21875,59.375,-9.536999999999999,15.560352348002407,72.96137339055794,无近期,,3185,0,2261,9014,-9537,1872,2028,5692,-4778,-3648,0
150,000651.SZ,40.723140495867774,EMA,compare,等比前复权,compare,9450.869999999995,,37,0,10,5,50,938.8736363636361,62.156756756756764,1.299002957716467,0.4054054054054054,67.56756756756756,-8.6427,18.05768880675352,75.9656652360515,无近期,,1429.81,0,-8642.68,7414.75,-389.19,-3412.66,-2229.85,1496.27,16790.67,-3025.83,896.32
151,601788.SH,40.70247933884298,EMA,compare,前复权,compare,660,,44,0,9,5,55.55555555555556,314.65636363636366,65.91136363636363,1.097159779923647,0.40909090909090895,68.18181818181817,-8.709999999999999,21.234629538602924,63.0901287553648,无近期,,416,-1540,0,-8710,-3067,314,7645,4424,-2454,6433.22,0
152,601689.SH,40.516528925619824,SMA,compare,等比前复权,compare,-2896.7400000000007,,25,0,7,5,71.42857142857143,-82.86272727272717,64.012,0.9660954723289151,0.3600000000000001,68,-9.304,54.22461328811926,18.025751072961373,无近期,,-69.3,3063.15,0,59.1,2195.82,-9303.98,866.61,2277.11,0,0,0
153,601800.SH,39.421487603305785,EMA,compare,前复权,compare,4435,,20,0,8,3,37.5,1217.8181818181818,54.989999999999995,1.7419962335216572,0.44999999999999996,70,-5.045999999999999,18.547616972461316,59.65665236051502,无近期,,-2236,-5046,-2806,9968,0,0,-3717,13771,3913,-451,0
154,600436.SH,39.00826446280992,EMA,compare,前复权,compare,6832,,23,0,9,3,33.33333333333333,1579.4545454545455,60.87391304347827,2.1105855279979546,0.21739130434782616,60.86956521739131,-4.836,47.80064664383646,41.63090128755365,无近期,,5537,10361,-480,-160,11559,0,-1710,-4619,-2508,-606,0
155,601727.SH,38.86363636363636,SMA,compare,等比前复权,compare,-16168.100000000002,,37,0,8,5,62.5,-88.01454545454553,67.57297297297298,0.9681402754555138,0.3513513513513513,67.56756756756756,-9.636899999999999,25.08748106720695,36.48068669527897,无近期,,0,-1793.89,0,2544.23,8572.48,52.98,-5863.48,2711.07,0,880.72,-8072.27
156,601111.SH,38.03719008264463,EMA,compare,等比前复权,compare,5484.42,,64,1,11,6,54.54545454545454,193.19818181818184,67.1953125,1.0320261202503824,0.375,68.75,-10.978200000000001,19.279535904381532,41.63090128755365,无近期,,-648.56,14787.99,-4108.22,1593.54,-10743.57,6155,104,-8593,3904,8216,-8542
